"","vectoriza"
"X20610",37.9637935418256
"X20621",42.9041255661021
"X20622",42.3926174976751
"X20629",42.1742715290502
"X20630",29.9208053691275
"X20641",32.8817046818727
"X20649",32.7457850203698
"X20680",34.3749441340782
"X20690",37.3651592718999
"X20710",30.8306367308149
"X20721",42.7243616527391
"X20722",35.5619182309077
"X20723",30.8985090521832
"X20731",35.6513250319285
"X20739",29.880829015544
"X20741",42.1156624472574
"X20742",34.5534331797235
"X20743",34.0783660627102
"X20750",NA
"X20810",33.2309527622098
"X20820",NA
"X20890",31.7648994515539
"X20900",32.6962574493445
"X21011",33.2131165919283
"X210110",40.8870930677901
"X21012",31.2940182494086
"X210120",36.1217611336033
"X210130",34.0900095018325
"X21019",31.7996704202142
"X21020",33.3956160110899
"X210210",36.1790214262872
"X210220",34.3965871217171
"X210230",34.2302749281904
"X210310",34.9505731625084
"X210320",37.679019633004
"X210330",33.7815741165672
"X210390",35.6889262257523
"X210410",33.4003149606299
"X210420",31.322705961152
"X210500",31.9055439814815
"X210610",34.445033557047
"X210690",35.9574312200957
"X21090",41.2193839835729
"X220110",32.9211194748671
"X220190",30.8187308289846
"X220210",33.8822330097087
"X220290",35.3312492908204
"X220300",32.7777546110666
"X220410",32.6528060482698
"X220421",33.6060312000983
"X220429",29.4730550785893
"X220430",38.2470726730498
"X220510",33.9269206842924
"X220590",34.6705185472907
"X220600",31.1674367436744
"X220710",39.4422866020837
"X220720",33.2333645735708
"X220810",NA
"X220820",31.05019948577
"X220830",34.8891091314031
"X220840",40.2958984513118
"X220850",35.3927565849228
"X220890",33.184770224079
"X220900",33.7616567232676
"X230110",36.4726409495549
"X230120",40.0188471716837
"X230210",42.6313514699429
"X230220",NA
"X230230",38.8382221106609
"X230240",39.0422389666308
"X230250",42.2488884593079
"X230310",33.4369003690037
"X230320",31.8649946196507
"X230330",35.5901630580059
"X230400",43.0753220085869
"X230500",43.3374035453597
"X230610",44.6365151043289
"X230620",28.3818838399037
"X230630",30.3161441042666
"X230640",31.524637161799
"X230650",37.9436266920725
"X230660",37.3600176078481
"X230690",36.5409350198413
"X230700",33.8727670206121
"X230810",NA
"X230890",40.0036692759295
"X230910",34.4666069295101
"X230990",36.4441500806886
"X240110",39.5108526840275
"X240120",42.8077604825021
"X240130",42.1375157905592
"X240210",41.8560115111706
"X240220",33.051318252313
"X240290",33.8967252516148
"X240310",41.309102145753
"X240391",39.1546164681777
"X240399",35.6515880571181
"X250100",33.0181071472355
"X250200",39.3624819902027
"X250310",38.3549029945171
"X250390",NA
"X250410",49.7131081362642
"X250490",48.6446228206456
"X250510",33.1089371980676
"X250590",46.1463452827023
"X250610",36.3099325236167
"X250621",39.575514673675
"X250629",29.3756997674619
"X250700",34.7599920223375
"X250810",34.4611645813282
"X250820",NA
"X250830",27.1616154100529
"X250840",30.2477870722433
"X250850",38.9141469021001
"X250860",32.4568867512025
"X250870",35.5636856368564
"X250900",32.530412371134
"X251010",39.7342417107345
"X251020",33.7340120314669
"X251110",37.7307170542636
"X251120",33.286767586821
"X251200",33.0645923781958
"X251311",36.5210477835348
"X251319",NA
"X251321",34.8123245614035
"X251329",38.8774114774115
"X251400",34.1685185185185
"X251511",35.0088473739866
"X251512",36.9295089038141
"X251520",35.3477979596914
"X251611",46.8186341677646
"X251612",42.9218707730725
"X251621",NA
"X251622",33.4757565395794
"X251690",31.5266743342476
"X251710",31.3504515727188
"X251720",33.1565294465235
"X251730",30.0022121788773
"X251741",29.3223260577354
"X251749",30.8867794817557
"X251810",32.4943781942078
"X251820",30.8390200558517
"X251830",35.7324753826655
"X251910",37.2754324501861
"X251990",33.0699893390192
